id,data,święto,dzień_roboczy,pogoda,temperatura,odczuwalna_temperatura,wilgotność,prędkość_wiatru,studenty_ms
55,2020-02-26,False,True,ładna_pogoda,2,0,56,11,23
56,2020-02-27,False,True,ładna_pogoda,7,5,54,6,603
58,2020-03-01,False,False,ładna_pogoda,2,1,61,6,30
59,2020-03-02,False,True,ładna_pogoda,5,-1,29,27,14
61,2020-03-04,False,True,pochmurno,2,-1,70,12,19
62,2020-03-05,False,True,pochmurno,9,5,77,22,173
64,2020-03-07,False,False,ładna_pogoda,2,1,33,11,27
65,2020-03-08,False,False,ładna_pogoda,3,1,39,6,16
67,2020-03-10,False,True,lekkie_opady,5,3,0,22,0
68,2020-03-11,False,True,ładna_pogoda,2,2,56,11,25
70,2020-03-13,False,True,ładna_pogoda,3,1,57,19,8
71,2020-03-14,False,False,ładna_pogoda,4,2,46,15,12
73,2020-03-16,False,True,pochmurno,8,6,54,19,9
74,2020-03-17,False,True,ładna_pogoda,8,8,67,15,22
76,2020-03-19,False,True,ładna_pogoda,8,7,35,15,401
77,2020-03-20,False,True,ładna_pogoda,5,3,46,19,12
79,2020-03-22,False,False,pochmurno,9,9,54,23,8
80,2020-03-23,False,True,lekkie_opady,5,0,87,43,0
82,2020-03-25,False,True,pochmurno,2,4,39,8,12
83,2020-03-26,False,True,pochmurno,1,1,45,16,178
85,2020-03-28,False,False,ładna_pogoda,3,5,22,7,24
86,2020-03-29,False,False,ładna_pogoda,5,8,21,6,29
88,2020-03-31,False,True,lekkie_opady,1,0,93,19,0
89,2020-04-01,False,True,ładna_pogoda,3,2,53,12,27
91,2020-04-03,False,True,lekkie_opady,8,10,41,15,0
92,2020-04-04,False,False,pochmurno,22,19,24,36,11
94,2020-04-06,False,True,ładna_pogoda,10,13,51,15,28
95,2020-04-07,False,True,ładna_pogoda,9,10,62,11,25
97,2020-04-09,False,True,pochmurno,6,8,87,11,350
98,2020-04-10,False,True,ładna_pogoda,10,12,82,8,32
100,2020-04-12,True,False,pochmurno,8,9,82,19,11
101,2020-04-13,True,False,ładna_pogoda,9,9,62,16,13
103,2020-04-15,False,True,pochmurno,7,7,76,22,5
104,2020-04-16,False,True,lekkie_opady,9,8,94,15,1
106,2020-04-18,False,False,ładna_pogoda,17,21,33,19,15
107,2020-04-19,False,False,pochmurno,12,12,72,15,12
109,2020-04-21,False,True,ładna_pogoda,9,13,30,8,20
110,2020-04-22,False,True,lekkie_opady,3,2,87,15,0
112,2020-04-24,False,True,lekkie_opady,17,16,83,19,0
113,2020-04-25,False,False,ładna_pogoda,20,20,61,19,29
115,2020-04-27,False,True,ładna_pogoda,19,17,83,22,18
116,2020-04-28,False,True,ładna_pogoda,16,14,43,15,9
118,2020-04-30,False,True,ładna_pogoda,9,10,62,8,61
119,2020-05-01,True,False,pochmurno,10,10,82,0,26
121,2020-05-03,True,False,ładna_pogoda,20,19,61,12,30
122,2020-05-04,False,True,ładna_pogoda,7,9,62,22,14
124,2020-05-06,False,True,ładna_pogoda,13,13,48,7,18
125,2020-05-07,False,True,ładna_pogoda,15,16,43,8,211
127,2020-05-09,False,False,ładna_pogoda,14,16,49,12,34
128,2020-05-10,False,False,ładna_pogoda,14,14,60,8,34
130,2020-05-12,False,True,ładna_pogoda,17,19,64,12,17
131,2020-05-13,False,True,pochmurno,13,14,83,8,21
133,2020-05-15,False,True,ładna_pogoda,14,14,88,0,43
134,2020-05-16,False,False,ładna_pogoda,16,16,83,0,19
136,2020-05-18,False,True,lekkie_opady,15,14,88,8,19
137,2020-05-19,False,True,ładna_pogoda,14,17,77,19,8
139,2020-05-21,False,True,ładna_pogoda,18,19,61,0,204
140,2020-05-22,False,True,ładna_pogoda,19,19,65,11,31
142,2020-05-24,False,False,ładna_pogoda,20,20,74,6,28
143,2020-05-25,False,True,ładna_pogoda,22,20,61,11,32
145,2020-05-27,False,True,pochmurno,18,15,73,15,15
146,2020-05-28,False,True,ładna_pogoda,22,21,65,15,84
148,2020-05-30,False,False,ładna_pogoda,25,26,58,0,31
149,2020-05-31,True,False,ładna_pogoda,26,26,62,7,16
151,2020-06-02,False,True,ładna_pogoda,22,21,24,12,16
152,2020-06-03,False,True,ładna_pogoda,19,22,29,11,24
154,2020-06-05,False,True,ładna_pogoda,20,19,69,12,38
155,2020-06-06,False,False,ładna_pogoda,21,21,61,8,13
157,2020-06-08,False,True,ładna_pogoda,27,29,63,8,21
158,2020-06-09,False,True,pochmurno,27,27,43,12,26
160,2020-06-11,True,False,ładna_pogoda,21,21,74,16,47
161,2020-06-12,False,True,ładna_pogoda,20,20,83,11,38
163,2020-06-14,False,False,ładna_pogoda,17,22,56,11,16
164,2020-06-15,False,True,ładna_pogoda,20,21,44,11,33
166,2020-06-17,False,True,ładna_pogoda,19,20,78,7,36
167,2020-06-18,False,True,pochmurno,23,23,58,8,22
169,2020-06-20,False,False,ładna_pogoda,20,20,69,15,20
170,2020-06-21,False,False,lekkie_opady,24,27,70,15,0
172,2020-06-23,False,True,ładna_pogoda,22,23,74,15,20
173,2020-06-24,False,True,ładna_pogoda,23,26,45,11,25
175,2020-06-26,False,True,pochmurno,22,25,48,7,22
176,2020-06-27,False,False,ładna_pogoda,22,23,65,7,25
178,2020-06-29,False,True,ładna_pogoda,24,24,37,19,22
179,2020-06-30,False,True,ładna_pogoda,24,24,33,12,48
181,2020-07-02,False,True,ładna_pogoda,25,25,45,19,37
182,2020-07-03,False,True,lekkie_opady,20,22,83,0,39
184,2020-07-05,False,False,ładna_pogoda,25,27,66,7,58
185,2020-07-06,False,True,ładna_pogoda,23,24,74,16,27
187,2020-07-08,False,True,ładna_pogoda,20,20,83,11,57
188,2020-07-09,False,True,ładna_pogoda,25,26,58,15,27
190,2020-07-11,False,False,ładna_pogoda,23,23,74,27,29
191,2020-07-12,False,False,ładna_pogoda,28,28,43,12,52
193,2020-07-14,False,True,ładna_pogoda,22,23,42,15,39
194,2020-07-15,False,True,ładna_pogoda,22,22,51,15,72
196,2020-07-17,False,True,ładna_pogoda,25,28,58,16,66
197,2020-07-18,False,False,ładna_pogoda,26,26,59,15,48
199,2020-07-20,False,True,ładna_pogoda,27,31,75,15,47
200,2020-07-21,False,True,ładna_pogoda,29,34,71,15,29
202,2020-07-23,False,True,ładna_pogoda,28,31,59,15,73
203,2020-07-24,False,True,ładna_pogoda,29,32,49,11,73
205,2020-07-26,False,False,ładna_pogoda,27,27,46,16,58
206,2020-07-27,False,True,ładna_pogoda,25,24,45,15,16
208,2020-07-29,False,True,ładna_pogoda,30,32,41,22,31
209,2020-07-30,False,True,ładna_pogoda,28,30,43,8,54
211,2020-08-01,False,False,ładna_pogoda,23,25,62,15,61
212,2020-08-02,False,False,pochmurno,28,28,46,16,26
214,2020-08-04,False,True,pochmurno,22,25,74,12,56
215,2020-08-05,False,True,ładna_pogoda,23,22,58,15,93
217,2020-08-07,False,True,ładna_pogoda,23,27,84,8,100
218,2020-08-08,False,False,ładna_pogoda,27,28,55,0,82
220,2020-08-10,False,True,ładna_pogoda,25,24,31,8,85
221,2020-08-11,False,True,ładna_pogoda,23,25,37,8,43
223,2020-08-13,False,True,pochmurno,21,24,83,15,24
224,2020-08-14,False,True,ładna_pogoda,22,26,84,11,130
226,2020-08-16,False,False,ładna_pogoda,24,26,51,0,167
227,2020-08-17,False,True,ładna_pogoda,24,24,58,16,49
229,2020-08-19,False,True,lekkie_opady,18,20,83,19,7
230,2020-08-20,False,True,ładna_pogoda,24,26,62,15,65
232,2020-08-22,False,False,ładna_pogoda,20,21,34,12,90
233,2020-08-23,False,False,ładna_pogoda,19,23,53,16,56
235,2020-08-25,False,True,ładna_pogoda,19,19,78,23,98
236,2020-08-26,False,True,ładna_pogoda,23,25,79,6,71
238,2020-08-29,False,False,ładna_pogoda,19,22,53,11,119
239,2020-08-30,False,False,ładna_pogoda,20,25,50,0,95
241,2020-09-01,False,True,ładna_pogoda,20,20,61,15,111
242,2020-09-02,False,True,ładna_pogoda,19,22,73,0,173
244,2020-09-04,False,True,ładna_pogoda,24,25,70,19,75
245,2020-09-05,False,False,lekkie_opady,20,20,94,16,34
247,2020-09-07,False,True,lekkie_opady,19,18,89,6,45
248,2020-09-08,False,True,pochmurno,18,16,94,11,111
250,2020-09-10,False,True,ładna_pogoda,20,20,69,7,52
251,2020-09-11,False,True,ładna_pogoda,18,21,73,7,82
253,2020-09-13,False,False,ładna_pogoda,20,22,74,12,69
254,2020-09-14,False,True,pochmurno,23,23,58,27,47
256,2020-09-16,False,True,pochmurno,12,16,55,0,119
257,2020-09-17,False,True,ładna_pogoda,13,17,68,8,87
259,2020-09-19,False,False,pochmurno,15,15,68,8,46
260,2020-09-20,False,False,ładna_pogoda,15,17,94,0,116
262,2020-09-22,False,True,pochmurno,18,18,94,8,93
263,2020-09-23,False,True,ładna_pogoda,17,14,94,0,89
265,2020-09-25,False,True,ładna_pogoda,19,18,83,6,157
266,2020-09-26,False,False,ładna_pogoda,19,17,89,8,140
268,2020-09-28,False,True,lekkie_opady,17,16,83,19,27
269,2020-09-29,False,True,ładna_pogoda,17,21,53,6,65
271,2020-10-01,False,True,lekkie_opady,5,5,87,7,8
272,2020-10-02,False,True,pochmurno,5,5,76,16,15
274,2020-10-04,False,False,ładna_pogoda,13,13,68,15,9
275,2020-10-05,False,True,ładna_pogoda,13,13,77,11,28
277,2020-10-07,False,True,ładna_pogoda,14,15,49,0,34
278,2020-10-08,False,True,ładna_pogoda,13,13,77,7,617
280,2020-10-10,False,False,ładna_pogoda,17,19,73,0,42
281,2020-10-11,False,False,pochmurno,16,15,83,15,10
283,2020-10-13,False,True,ładna_pogoda,18,16,83,19,15
284,2020-10-14,False,True,ładna_pogoda,13,12,42,12,20
286,2020-10-16,False,True,ładna_pogoda,14,14,52,31,23
287,2020-10-17,False,False,ładna_pogoda,13,13,77,7,34
289,2020-10-19,False,True,lekkie_opady,17,12,94,6,13
290,2020-10-20,False,True,pochmurno,10,10,51,22,8
292,2020-10-22,False,True,ładna_pogoda,8,10,67,0,751
293,2020-10-23,False,True,ładna_pogoda,9,10,72,6,24
295,2020-10-25,False,False,ładna_pogoda,10,12,67,7,36
296,2020-10-26,False,True,ładna_pogoda,12,13,88,0,31
298,2020-10-28,False,True,lekkie_opady,4,5,61,15,7
299,2020-10-29,False,True,ładna_pogoda,0,-1,87,23,149
301,2020-10-31,False,False,ładna_pogoda,7,8,66,6,43
302,2020-11-01,True,False,ładna_pogoda,7,10,71,0,37
304,2020-11-03,False,True,ładna_pogoda,8,8,71,7,16
305,2020-11-04,False,True,ładna_pogoda,5,6,43,19,12
307,2020-11-06,False,True,ładna_pogoda,5,8,81,7,34
308,2020-11-07,False,False,ładna_pogoda,7,10,71,0,39
310,2020-11-09,False,True,ładna_pogoda,9,11,77,0,35
311,2020-11-10,False,True,pochmurno,5,2,62,19,11
313,2020-11-12,False,True,ładna_pogoda,8,9,50,19,48
314,2020-11-13,False,True,ładna_pogoda,12,12,31,23,16
316,2020-11-15,False,False,pochmurno,11,9,82,8,25
317,2020-11-16,False,True,lekkie_opady,9,10,88,26,0
319,2020-11-18,False,True,ładna_pogoda,1,3,48,12,37
320,2020-11-19,False,True,pochmurno,5,5,57,7,452
322,2020-11-21,False,False,lekkie_opady,7,7,87,15,0
323,2020-11-22,False,False,pochmurno,10,11,100,15,15
325,2020-11-24,False,True,ładna_pogoda,5,5,76,11,28
326,2020-11-25,False,True,ładna_pogoda,7,8,58,6,23
328,2020-11-27,False,True,ładna_pogoda,12,14,63,16,23
329,2020-11-28,False,False,pochmurno,14,13,73,16,15
331,2020-11-30,False,True,pochmurno,3,2,57,19,7
332,2020-12-01,False,True,ładna_pogoda,4,5,46,7,24
334,2020-12-03,False,True,ładna_pogoda,2,4,61,6,264
335,2020-12-04,False,True,ładna_pogoda,5,6,76,8,37
337,2020-12-06,False,False,lekkie_opady,10,10,100,19,0
338,2020-12-07,False,True,lekkie_opady,4,0,87,43,0
340,2020-12-09,False,True,ładna_pogoda,2,3,81,0,37
341,2020-12-10,False,True,ładna_pogoda,0,1,35,15,81
343,2020-12-12,False,False,ładna_pogoda,2,6,56,6,23
344,2020-12-13,False,False,ładna_pogoda,3,4,49,11,27
346,2020-12-15,False,True,ładna_pogoda,13,13,59,22,23
347,2020-12-16,False,True,pochmurno,3,4,45,12,22
349,2020-12-18,False,True,ładna_pogoda,0,0,60,7,15
350,2020-12-19,False,False,ładna_pogoda,7,10,40,11,26
352,2020-12-21,False,True,pochmurno,12,7,94,23,12
353,2020-12-22,False,True,lekkie_opady,8,7,71,0,12
355,2020-12-24,False,True,ładna_pogoda,0,0,56,8,34
356,2020-12-25,True,False,ładna_pogoda,3,5,49,6,29
358,2020-12-27,False,False,ładna_pogoda,3,2,93,6,35
359,2020-12-28,False,True,ładna_pogoda,0,-3,41,15,10
361,2020-12-30,False,True,pochmurno,4,4,66,7,22
362,2020-12-31,False,True,ładna_pogoda,8,7,54,15,20
364,2021-01-02,False,False,ładna_pogoda,0,-4,41,15,3
365,2021-01-03,False,False,ładna_pogoda,-6,-7,33,16,3
367,2021-01-05,False,True,ładna_pogoda,2,1,49,0,45
368,2021-01-06,True,False,ładna_pogoda,8,7,41,12,28
370,2021-01-08,False,True,ładna_pogoda,2,0,52,11,33
371,2021-01-09,False,False,pochmurno,-2,-3,86,6,14
373,2021-01-11,False,True,lekkie_opady,3,0,93,11,13
374,2021-01-12,False,True,pochmurno,8,5,71,12,17
376,2021-01-14,False,True,ładna_pogoda,-2,-4,44,16,12
377,2021-01-15,False,True,ładna_pogoda,-4,-4,37,7,22
379,2021-01-17,False,False,ładna_pogoda,10,8,63,23,21
380,2021-01-18,False,True,ładna_pogoda,-1,-4,37,16,5
382,2021-01-20,False,True,pochmurno,-2,-1,34,6,5
383,2021-01-21,False,True,pochmurno,-3,-7,80,19,0
385,2021-01-23,False,False,pochmurno,0,0,100,11,10
386,2021-01-24,False,False,ładna_pogoda,3,3,76,0,26
388,2021-01-26,False,True,pochmurno,7,4,82,8,29
389,2021-01-27,False,True,ładna_pogoda,4,1,53,23,14
391,2021-01-29,False,True,ładna_pogoda,2,0,39,15,18
392,2021-01-30,False,False,ładna_pogoda,2,2,39,11,27
394,2021-02-01,False,True,ładna_pogoda,13,11,52,11,30
395,2021-02-02,False,True,ładna_pogoda,5,2,46,35,16
397,2021-02-04,False,True,lekkie_opady,0,-4,93,12,0
398,2021-02-05,False,True,ładna_pogoda,1,-2,56,12,29
400,2021-02-07,False,False,ładna_pogoda,5,3,50,8,26
401,2021-02-08,False,True,lekkie_opady,0,-2,87,8,0
403,2021-02-10,False,True,pochmurno,3,3,57,0,14
404,2021-02-11,False,True,pochmurno,-4,-11,43,36,1
406,2021-02-13,False,False,ładna_pogoda,2,2,42,11,27
407,2021-02-14,False,False,pochmurno,6,7,46,8,17
409,2021-02-16,False,True,pochmurno,3,1,87,8,12
410,2021-02-17,False,True,ładna_pogoda,7,7,35,12,21
412,2021-02-19,False,True,pochmurno,2,-1,52,19,8
413,2021-02-20,False,False,ładna_pogoda,4,3,34,12,26
415,2021-02-22,False,True,pochmurno,9,9,47,12,19
416,2021-02-23,False,True,ładna_pogoda,10,6,44,8,29
418,2021-02-25,False,True,ładna_pogoda,0,-4,30,36,10
419,2021-02-26,False,True,ładna_pogoda,3,2,42,11,26
421,2021-02-28,False,False,ładna_pogoda,7,7,30,8,24
422,2021-02-28,False,False,lekkie_opady,8,6,88,11,5
424,2021-03-02,False,True,pochmurno,5,3,87,12,18
425,2021-03-03,False,True,ładna_pogoda,9,9,30,8,35
427,2021-03-05,False,True,ładna_pogoda,0,-4,37,31,18
428,2021-03-06,False,False,ładna_pogoda,3,1,49,12,33
430,2021-03-08,False,True,pochmurno,17,19,43,26,15
431,2021-03-09,False,True,ładna_pogoda,6,6,32,23,19
433,2021-03-11,False,True,ładna_pogoda,9,9,47,15,448
434,2021-03-12,False,True,pochmurno,15,11,49,15,11
436,2021-03-14,False,False,ładna_pogoda,18,16,35,7,24
437,2021-03-15,False,True,pochmurno,16,12,60,23,9
439,2021-03-17,False,True,ładna_pogoda,15,13,64,12,37
440,2021-03-18,False,True,ładna_pogoda,13,10,77,8,1005
442,2021-03-20,False,False,ładna_pogoda,16,12,68,6,40
443,2021-03-21,False,False,ładna_pogoda,15,15,78,6,23
445,2021-03-23,False,True,ładna_pogoda,20,21,47,8,32
446,2021-03-24,False,True,lekkie_opady,9,10,100,12,5
448,2021-03-26,False,True,ładna_pogoda,7,9,26,35,21
449,2021-03-27,False,False,ładna_pogoda,8,11,17,6,23
451,2021-03-29,False,True,ładna_pogoda,10,11,38,19,22
452,2021-03-30,False,True,ładna_pogoda,7,9,62,11,24
454,2021-04-01,False,True,pochmurno,12,13,59,15,367
455,2021-04-02,False,True,ładna_pogoda,10,12,31,11,27
457,2021-04-04,True,False,ładna_pogoda,19,20,27,15,19
458,2021-04-05,True,False,ładna_pogoda,9,9,41,12,29
460,2021-04-07,False,True,ładna_pogoda,12,13,20,15,13
461,2021-04-08,False,True,ładna_pogoda,15,16,28,27,482
463,2021-04-10,False,False,ładna_pogoda,10,12,28,26,14
464,2021-04-11,False,False,ładna_pogoda,5,7,46,22,18
466,2021-04-13,False,True,ładna_pogoda,12,13,29,8,33
467,2021-04-14,False,True,pochmurno,15,15,46,8,23
469,2021-04-16,False,True,ładna_pogoda,24,20,37,19,16
470,2021-04-17,False,False,ładna_pogoda,17,19,23,19,18
472,2021-04-19,False,True,ładna_pogoda,15,16,49,15,22
473,2021-04-20,False,True,ładna_pogoda,16,16,56,11,34
475,2021-04-22,False,True,lekkie_opady,5,4,93,27,0
476,2021-04-23,False,True,pochmurno,3,2,76,11,7
478,2021-04-25,False,False,ładna_pogoda,15,16,22,6,41
479,2021-04-26,False,True,ładna_pogoda,14,14,77,12,40
481,2021-04-28,False,True,pochmurno,6,10,66,0,31
482,2021-04-29,False,True,ładna_pogoda,15,15,32,6,71
484,2021-05-01,True,False,ładna_pogoda,20,20,61,11,29
485,2021-05-02,False,False,ładna_pogoda,13,12,77,16,22
487,2021-05-04,False,True,ładna_pogoda,21,22,51,7,38
488,2021-05-05,False,True,ładna_pogoda,17,16,78,16,16
490,2021-05-07,False,True,ładna_pogoda,14,15,52,19,15
491,2021-05-08,False,False,pochmurno,19,16,69,19,16
493,2021-05-10,False,True,ładna_pogoda,13,15,40,22,15
494,2021-05-11,False,True,ładna_pogoda,18,21,25,8,23
496,2021-05-13,False,True,pochmurno,20,18,50,19,115
497,2021-05-14,False,True,pochmurno,16,16,88,12,23
499,2021-05-16,False,False,ładna_pogoda,20,20,65,16,13
500,2021-05-17,False,True,ładna_pogoda,17,22,40,12,27
502,2021-05-19,False,True,ładna_pogoda,21,22,41,6,26
503,2021-05-20,False,True,ładna_pogoda,20,20,61,27,151
505,2021-05-22,False,False,ładna_pogoda,19,20,73,16,17
506,2021-05-23,True,False,pochmurno,18,18,83,6,15
508,2021-05-25,False,True,ładna_pogoda,22,21,65,11,35
509,2021-05-26,False,True,pochmurno,24,22,55,12,16
511,2021-05-28,False,True,ładna_pogoda,26,23,62,19,12
512,2021-05-29,False,False,lekkie_opady,22,18,61,35,0
514,2021-05-31,False,True,ładna_pogoda,21,21,44,11,31
515,2021-06-01,False,True,lekkie_opady,18,14,94,16,5
517,2021-06-03,True,False,ładna_pogoda,20,20,39,12,49
518,2021-06-04,False,True,ładna_pogoda,17,17,40,23,13
520,2021-06-06,False,False,ładna_pogoda,14,12,73,19,9
521,2021-06-07,False,True,ładna_pogoda,20,18,36,19,22
523,2021-06-09,False,True,ładna_pogoda,25,23,35,15,23
524,2021-06-10,False,True,ładna_pogoda,25,25,48,11,188
526,2021-06-12,False,False,ładna_pogoda,21,20,83,12,43
527,2021-06-13,False,False,ładna_pogoda,21,20,36,27,19
529,2021-06-15,False,True,ładna_pogoda,21,21,44,12,4
530,2021-06-16,False,True,pochmurno,20,19,47,12,16
532,2021-06-18,False,True,pochmurno,18,17,73,8,16
533,2021-06-19,False,False,ładna_pogoda,27,27,55,16,12
535,2021-06-21,False,True,ładna_pogoda,30,32,44,12,31
536,2021-06-22,False,True,pochmurno,25,24,55,35,13
538,2021-06-24,False,True,ładna_pogoda,26,27,46,16,23
539,2021-06-25,False,True,ładna_pogoda,23,23,30,30,26
541,2021-06-27,False,False,ładna_pogoda,25,25,31,12,32
542,2021-06-28,False,True,ładna_pogoda,28,28,34,12,29
544,2021-06-30,False,True,ładna_pogoda,28,30,52,11,36
545,2021-07-01,False,True,ładna_pogoda,29,29,39,8,41
547,2021-07-03,False,False,lekkie_opady,25,23,55,32,0
548,2021-07-04,False,False,ładna_pogoda,30,31,47,15,27
550,2021-07-06,False,True,ładna_pogoda,30,32,39,7,55
551,2021-07-07,False,True,ładna_pogoda,32,33,37,11,47
553,2021-07-09,False,True,pochmurno,24,25,55,7,71
554,2021-07-10,False,False,lekkie_opady,19,19,83,15,0
556,2021-07-12,False,True,ładna_pogoda,24,23,48,15,22
557,2021-07-13,False,True,ładna_pogoda,24,24,48,8,104
559,2021-07-15,False,True,ładna_pogoda,23,23,79,16,70
560,2021-07-16,False,True,ładna_pogoda,27,29,59,8,49
562,2021-07-18,False,False,ładna_pogoda,24,26,62,6,142
563,2021-07-19,False,True,ładna_pogoda,28,28,49,11,59
565,2021-07-21,False,True,lekkie_opady,17,17,88,11,20
566,2021-07-22,False,True,ładna_pogoda,22,25,74,11,120
568,2021-07-24,False,False,ładna_pogoda,24,24,66,11,66
569,2021-07-25,False,False,ładna_pogoda,24,26,40,11,39
571,2021-07-27,False,True,ładna_pogoda,26,29,59,7,88
572,2021-07-28,False,True,ładna_pogoda,20,19,83,15,84
574,2021-07-30,False,True,ładna_pogoda,23,25,70,15,45
575,2021-07-31,False,False,lekkie_opady,22,24,70,12,17
577,2021-08-02,False,True,ładna_pogoda,26,29,66,0,54
578,2021-08-03,False,True,pochmurno,26,27,66,15,30
580,2021-08-05,False,True,ładna_pogoda,22,23,84,7,107
581,2021-08-06,False,True,ładna_pogoda,25,26,66,11,135
583,2021-08-08,False,False,ładna_pogoda,24,24,66,12,108
584,2021-08-09,False,True,ładna_pogoda,22,24,54,19,47
586,2021-08-11,False,True,lekkie_opady,20,19,89,27,7
587,2021-08-12,False,True,ładna_pogoda,23,25,45,0,66
589,2021-08-14,False,False,ładna_pogoda,24,27,74,15,84
590,2021-08-15,True,False,ładna_pogoda,22,25,61,8,113
592,2021-08-17,False,True,pochmurno,23,3,58,15,68
593,2021-08-18,False,True,ładna_pogoda,22,22,45,7,193
595,2021-08-20,False,True,pochmurno,18,16,83,19,43
596,2021-08-21,False,False,ładna_pogoda,19,21,73,0,186
598,2021-08-23,False,True,ładna_pogoda,22,24,61,7,140
599,2021-08-24,False,True,pochmurno,22,22,65,15,67
601,2021-08-26,False,True,ładna_pogoda,19,18,89,11,171
602,2021-08-27,False,True,ładna_pogoda,24,24,70,12,107
604,2021-08-29,False,False,ładna_pogoda,21,23,57,0,187
605,2021-08-30,False,True,ładna_pogoda,24,25,58,11,104
607,2021-09-01,False,True,lekkie_opady,25,26,67,16,0
608,2021-09-02,False,True,pochmurno,22,24,84,11,64
610,2021-09-04,False,False,ładna_pogoda,24,26,70,16,69
611,2021-09-05,False,False,ładna_pogoda,23,27,84,11,116
613,2021-09-07,False,True,ładna_pogoda,23,27,66,15,73
614,2021-09-08,False,True,pochmurno,16,17,88,6,76
616,2021-09-10,False,True,ładna_pogoda,17,22,40,12,195
617,2021-09-11,False,False,ładna_pogoda,16,19,56,8,81
619,2021-09-13,False,True,ładna_pogoda,18,21,69,7,73
620,2021-09-14,False,True,ładna_pogoda,20,23,61,7,170
622,2021-09-16,False,True,ładna_pogoda,17,24,53,7,110
623,2021-09-17,False,True,pochmurno,18,20,73,8,37
625,2021-09-19,False,False,ładna_pogoda,13,16,48,11,190
626,2021-09-20,False,True,ładna_pogoda,15,17,64,8,160
628,2021-09-22,False,True,ładna_pogoda,22,23,54,16,110
629,2021-09-23,False,True,ładna_pogoda,13,15,42,11,171
631,2021-09-25,False,False,ładna_pogoda,17,19,56,19,91
632,2021-09-26,False,False,ładna_pogoda,20,21,69,12,213
634,2021-09-28,False,True,lekkie_opady,17,18,53,11,14
635,2021-09-29,False,True,ładna_pogoda,13,13,55,12,197
637,2021-10-01,False,True,lekkie_opady,14,16,68,0,1999
638,2021-10-02,False,False,lekkie_opady,18,15,94,8,3098
640,2021-10-04,False,True,ładna_pogoda,19,20,65,7,17
641,2021-10-05,False,True,ładna_pogoda,17,18,78,8,25
643,2021-10-07,False,True,ładna_pogoda,7,8,82,8,825
644,2021-10-08,False,True,lekkie_opady,7,8,71,15,0
646,2021-10-10,False,False,ładna_pogoda,13,13,48,32,17
647,2021-10-11,False,True,ładna_pogoda,8,9,62,11,19
649,2021-10-13,False,True,ładna_pogoda,7,8,54,6,25
650,2021-10-14,False,True,ładna_pogoda,14,14,73,15,483
652,2021-10-16,False,False,ładna_pogoda,10,13,55,0,37
653,2021-10-17,False,False,ładna_pogoda,12,13,72,8,33
655,2021-10-19,False,True,ładna_pogoda,13,15,77,12,39
656,2021-10-20,False,True,ładna_pogoda,12,13,39,15,24
658,2021-10-22,False,True,ładna_pogoda,12,12,59,7,24
659,2021-10-23,False,False,ładna_pogoda,16,16,64,8,20
